"tabla1.n" "tabla1.mu" "tabla1.dmu"
1 0.000558583982936279 3e-06
2 0.000499999661157491 3e-06
3 0.000558583982936279 2e-06
4 0.000560355858058274 3e-06
5 0.000561423032915258 3e-06
6 0.000571776064759423 3e-06
7 0.000570905317813838 3e-06
8 0.000571166332928871 3e-06
9 0.000546983385489915 3e-06
10 0.000550194855796779 3e-06
